id_pais,pais,,departamento,,nombre_completo,,organizacion_politica,,cargo
,Bolivia,,Oruro,,IVÁN RODRÍGUEZ,,PARTICIPACIÓN POPULAR – PP,,Gobernador
,Bolivia,,Oruro,,FREDDY CUBA,,PARTIDO DEMÓCRATA CRISTIANO – PDC,,Gobernador
,Bolivia,,Oruro,,OSCAR CHAMBI,,PATRIA,,Gobernador
,Bolivia,,Oruro,,JUAN PABLO QUISPE,,SOMOS ORURO,,Gobernador
,Bolivia,,Oruro,,LUIS ALFREDO VERGARA,,UNIDAD NACIONAL – UN,,Gobernador
,Bolivia,,Oruro,,JOHNNY FRANKLIN VEDIA,,UNIDOS POR LOS PUEBLOS – A-UPP,,Gobernador
,Bolivia,,Potosí,,JOHNNY WILBER PRADA URIBE,,MOVIMIENTO NACIONALISTA REVOLUCIONARIO,,Gobernador
,Bolivia,,Potosí,,LEANDRO SANCHEZ GALLARDO,,UNIDAD CIVICA SOLIDARIDAD,,Gobernador
,Bolivia,,Potosí,,ANIBAL GASTON FRIAS OLMOS,,FRENTE DE UNIDAD NACIONAL,,Gobernador
,Bolivia,,Potosí,,EDUARDO PACHECO COLQUE,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Potosí,,ESTANIS CONDORI CARDENAS,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Potosí,,RENE JOAQUINO CABRERA,,CONSEJO ORIGINARIO DE LA NACIÓN CHICHAS - WISIJSA,,Gobernador
,Bolivia,,Potosí,,JOSE LUIS MIRANDA QUILO,,AUTONOMÍA PARA BOLIVIA SÚMATE,,Gobernador
,Bolivia,,Potosí,,MARCO ANTONIO PUMARI ARRIAGA,,ALIANZA PROYECTO PAÍS,,Gobernador
,Bolivia,,Potosí,,FELIX SANTOS ZAMBRANA,,ALIANZA UNIDOS POR LOS PUEBLOS,,Gobernador
,Bolivia,,Potosí,,MARCO ANTONIO COPA GUTIERREZ,,ALIANZA PATRIA UNIDOS,,Gobernador
,Bolivia,,Santa Cruz,,JUAN PABLO VELASCO DALENCE,,LIBERTAD Y REPÚBLICA,,Gobernador
,Bolivia,,Santa Cruz,,JUAN CARLOS MEDRANO GONZALES,,SAO-ADN,,Gobernador
,Bolivia,,Santa Cruz,,OTTO ANDRES RITTER MENDEZ,,SANTA CRUZ PARA TODOS,,Gobernador
,Bolivia,,Santa Cruz,,MAURICIO QUEZADA MOSTAJO,,PARTIDO DEMOCRATA CRISTIANO,,Gobernador
,Bolivia,,Santa Cruz,,MIGUEL CADIMA CASTRO,,"ALIANZA TRABAJO, OBRAS, DESARROLLO INTEGRAL, OPORTUNIDADES Y SEGURIDAD",,Gobernador
,Bolivia,,Santa Cruz,,CHI HYUN CHUNG,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Santa Cruz,,VLADIMIR ARIEL PEÑA VIRHUEZ,,FUERZA Y ESPERANZA,,Gobernador
,Bolivia,,Santa Cruz,,JULIO CESAR TORREZ TAPIA,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,Santa Cruz,,LUIS FERNANDO CAMACHO VACA,,ALIANZA CREEMOS PATRIA,,Gobernador
,Bolivia,,Santa Cruz,,GUIDO EDUARDO NAYAR PARADA,,PRIMERO SANTA CRUZ,,Gobernador
,Bolivia,,Beni,,CONSUELO NUÑEZ MOLINA,,CENTRAL DE PUEBLOS ETNICOS MOJEÑOS DEL BENI,,Gobernador
,Bolivia,,Beni,,CASTA KARINA SALINAS CURY,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Beni,,HUGO VARGAS ROCA,,MOVIMIENTO NACIONALISTA REVOLUCIONARIO,,Gobernador
,Bolivia,,Beni,,LUIS ROWERS PERDRIEL CALLEJA,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,Beni,,JESUS EGUEZ RIVERO,,ALIANZA PATRIA UNIDOS,,Gobernador
,Bolivia,,Beni,,MARIO ALBERTO ALMEIDA SALAS,,ALIANZA UNIDOS POR LOS PUEBLOS,,Gobernador
,Bolivia,,Beni,,JOSE ALEJANDRO UNZUETA SHIRIQUI,,EL BENI SE DESARROLLA HOY,,Gobernador
,Bolivia,,Pando,,REGIS GERMAN RICHTER ALENCAR,,UNIDOS POR LA PATRIA-PRIMERO PANDO,,Gobernador
,Bolivia,,Pando,,ANA LUCIA REIS MELENA,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Pando,,ABELARDO PUERTA VELASQUEZ,,MOVIMIENTO NACIONALISTA REVOLUCIONARIO,,Gobernador
,Bolivia,,Pando,,ROLY DANIEL SALDIA PUERTA,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,Pando,,EVA LUZ HUMEREZ ALVEZ,,MOVIMIENTO DEMOCRÁTICO AUTONOMÍSTA,,Gobernador
,Bolivia,,Pando,,RODOLFO AÑEZ DOMINGUEZ,,FEDERACION SINDICAL UNICA DE TRABAJADORES CAMPESINOS DE PANDO,,Gobernador
,Bolivia,,Pando,,GABRIELA DE PAIVA PADILLA,,LIBRE PANDO,,Gobernador
